timestamp,coordinates,vehicle_class,car_model_1,car_model_1_accuracy,car_model_2,car_model_2_accuracy,confidence,color_1,color_1_accuracy,color_2,color_2_accuracy,plate_number,plate_confidence,char_confidences,vehicle_image,plate_image
2025-04-25 00:53:04,"(31,20)-(1915,1053)",car,Honda_CR-Z_2010-2013,0.7762369513511658,Cadillac_ELR_2014,0.1041671559214592,0.8852874636650085,black,0.9729354977607727,blue,0.012555736117064953,,0.8478109836578369,0.0,[],detections/20250425-005303_vehicle.jpg,detections/20250425-005303_plate.jpg
2025-04-25 00:53:08,"(8,6)-(1916,1060)",car,Toyota_Aygo_2009-2015,0.17018762230873108,Honda_CR-Z_2010-2013,0.13758404552936554,0.845580518245697,green,0.7396316528320312,black,0.19250814616680145,N/A,0.0,0.0,[],detections/20250425-005307_vehicle.jpg,N/A
2025-04-25 01:05:35,"(3,4)-(1917,1052)",car,Cadillac_ELR_2014,0.6495354771614075,Honda_Odyssey_2009-2015,0.25304722785949707,0.9107354283332825,blue,0.7291371822357178,green,0.1092749610543251,7231UTJ,0.9017830491065979,0.8713470186505999,"[0.9314588904380798, 0.9090949296951294, 0.8829898834228516, 0.8827086687088013, 0.8411528468132019, 0.8365938663482666, 0.8154300451278687]",detections/20250425-010531_vehicle.jpg,detections/20250425-010531_plate.jpg
2025-04-25 01:05:40,"(6,3)-(1918,1053)",car,Honda_Odyssey_2009-2015,0.9271031022071838,Cadillac_ELR_2014,0.05047903209924698,0.92857426404953,blue,0.7294129729270935,green,0.14154033362865448,7231UTJ,0.8934925198554993,0.8680184994425092,"[0.9325101971626282, 0.9065880179405212, 0.887353777885437, 0.8868355751037598, 0.8378272652626038, 0.8324276208877563, 0.7925870418548584]",detections/20250425-010538_vehicle.jpg,detections/20250425-010538_plate.jpg
2025-04-25 01:05:45,"(10,3)-(1918,1051)",car,Honda_Odyssey_2009-2015,0.6623504161834717,Chevy_Volt_2011-2015,0.14790180325508118,0.9356552958488464,black,0.649554431438446,green,0.16122661530971527,7231UTJ,0.907355546951294,0.8608128769057137,"[0.9309396743774414, 0.9023000597953796, 0.8885332942008972, 0.8838916420936584, 0.8542384505271912, 0.8379873633384705, 0.727799654006958]",detections/20250425-010543_vehicle.jpg,detections/20250425-010543_plate.jpg
2025-04-25 01:07:15,"(4,16)-(1913,1051)",car,Cadillac_ELR_2014,0.8930334448814392,Nissan_Pathfinder_2005-2013,0.035166118294000626,0.7612720131874084,blue,0.9318813681602478,yellow,0.020382940769195557,,0.7894126772880554,0.0,[],detections/20250425-010713_vehicle.jpg,detections/20250425-010713_plate.jpg
2025-04-25 01:07:18,"(3,2)-(1917,1059)",car,Chevy_Volt_2011-2015,0.7541254758834839,KIA_K5_2011-2015,0.05960638448596001,0.6455790996551514,black,0.5700881481170654,green,0.2207557111978531,7231UTJ,0.8993690013885498,0.8887317776679993,"[0.9143410325050354, 0.9119717478752136, 0.9063036441802979, 0.8928906917572021, 0.8711291551589966, 0.8656443357467651, 0.8588418364524841]",detections/20250425-010717_vehicle.jpg,detections/20250425-010717_plate.jpg
2025-04-25 01:07:22,"(3,7)-(1917,1058)",car,Honda_Crosstour_2011-2014,0.5955021381378174,Honda_Crider_2013-2015,0.16049902141094208,0.6061293482780457,black,0.652374267578125,green,0.1919359564781189,7231UTJ,0.91595458984375,0.8905013799667358,"[0.9552492499351501, 0.9098279476165771, 0.9070465564727783, 0.9041504859924316, 0.8785783648490906, 0.8655914664268494, 0.8130655884742737]",detections/20250425-010721_vehicle.jpg,detections/20250425-010721_plate.jpg
2025-04-25 01:07:27,"(1,3)-(1917,1045)",car,Cadillac_ELR_2014,0.5590636134147644,Honda_Odyssey_2009-2015,0.2927356958389282,0.7995627522468567,green,0.372582346200943,blue,0.2917426526546478,7231UTJ,0.8975488543510437,0.9005050148282733,"[0.9246076345443726, 0.9212757349014282, 0.91596919298172, 0.906401515007019, 0.8943648338317871, 0.8858611583709717, 0.855055034160614]",detections/20250425-010725_vehicle.jpg,detections/20250425-010725_plate.jpg
2025-04-25 01:07:42,"(304,6)-(1916,1054)",car,Honda_Crider_2013-2015,0.9949541687965393,BYD_S7_2013-2015,0.0025182159151881933,0.6346837878227234,black,0.9077633023262024,green,0.06884972006082535,,0.7923153042793274,0.0,[],detections/20250425-010740_vehicle.jpg,detections/20250425-010740_plate.jpg
